comune,comune_codice_istat,stemma_araldica,stemma,nome_file,comune_codice_istat,comune_codice_istat,est
Agliè,001001,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Aglie.jpg?fit=244%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Aglie.jpgAglie.jpg,Aglie.jpg,001001,001001,jpg
Airasca,001002,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/airasca.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/airasca.jpg,airasca.jpg,001002,001002,jpg
Ala di Stura,001003,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Ala-di-Stura.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Ala-di-Stura.jpg,Ala-di-Stura.jpg,001003,001003,jpg
Albiano d'Ivrea,001004,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/albianodivrea.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/albianodivrea.jpg,albianodivrea.jpg,001004,001004,jpg
Almese,001006,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Almese.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Almese.jpg,Almese.jpg,001006,001006,jpg
Alpette,001007,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/alpette.jpg?fit=240%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/alpette.jpg,alpette.jpg,001007,001007,jpg
Alpignano,001008,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Alpignano-A.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Alpignano-A.jpg,Alpignano-A.jpg,001008,001008,jpg
Andezeno,001009,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/andezenobis.jpg?fit=203%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/andezenobis.jpg,andezenobis.jpg,001009,001009,jpg
Andrate,001010,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Andrate.jpg?fit=203%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Andrate.jpg,Andrate.jpg,001010,001010,jpg
Angrogna,001011,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/angrogna.jpg?fit=300%2C274&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/angrogna.jpg,angrogna.jpg,001011,001011,jpg
Arignano,001012,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/arignano.jpg?fit=235%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/arignano.jpg,arignano.jpg,001012,001012,jpg
Avigliana,001013,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/avigliana-1.jpg?fit=248%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/avigliana-1.jpg,avigliana-1.jpg,001013,001013,jpg
Azeglio,001014,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/azeglio.jpg?fit=178%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/azeglio.jpg,azeglio.jpg,001014,001014,jpg
Bairo,001015,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bairo.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bairo.jpg,bairo.jpg,001015,001015,jpg
Balangero,001016,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/balangero.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/balangero.jpg,balangero.jpg,001016,001016,jpg
Baldissero Canavese,001017,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/baldisserocanavese.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/baldisserocanavese.jpg,baldisserocanavese.jpg,001017,001017,jpg
Baldissero Torinese,001018,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Baldissero-Torinese.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Baldissero-Torinese.jpg,Baldissero-Torinese.jpg,001018,001018,jpg
Balme,001019,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/balme.jpg?fit=230%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/balme.jpg,balme.jpg,001019,001019,jpg
Banchette,001020,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Banchette-0.jpg?fit=248%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Banchette-0.jpg,Banchette-0.jpg,001020,001020,jpg
Barbania,001021,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/barbania.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/barbania.jpg,barbania.jpg,001021,001021,jpg
Bardonecchia,001022,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bardonecchia.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bardonecchia.jpg,bardonecchia.jpg,001022,001022,jpg
Barone Canavese,001023,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/baronecanavese.jpg?fit=208%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/baronecanavese.jpg,baronecanavese.jpg,001023,001023,jpg
Beinasco,001024,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/beinasco-1.jpg?fit=235%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/beinasco-1.jpg,beinasco-1.jpg,001024,001024,jpg
Bibiana,001025,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bibiana-1.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Bibiana-1.jpg,Bibiana-1.jpg,001025,001025,jpg
Bobbio Pellice,001026,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bobbiopellice.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bobbiopellice.jpg,bobbiopellice.jpg,001026,001026,jpg
Bollengo,001027,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bollengo.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bollengo.jpg,bollengo.jpg,001027,001027,jpg
Borgaro Torinese,001028,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Borgaro-Torinese.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Borgaro-Torinese.jpg,Borgaro-Torinese.jpg,001028,001028,jpg
Borgiallo,001029,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/borgiallo.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/borgiallo.jpg,borgiallo.jpg,001029,001029,jpg
Borgofranco d'Ivrea,001030,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/borgofrancodivrea.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/borgofrancodivrea.jpg,borgofrancodivrea.jpg,001030,001030,jpg
Borgomasino,001031,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/borgomasino.jpg?fit=240%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/borgomasino.jpg,borgomasino.jpg,001031,001031,jpg
Borgone Susa,001032,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Borgone-Susa.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Borgone-Susa.jpg,Borgone-Susa.jpg,001032,001032,jpg
Bosconero,001033,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bosconero.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/bosconero.jpg,bosconero.jpg,001033,001033,jpg
Brandizzo,001034,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/brandizzo.jpg?fit=203%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/brandizzo.jpg,brandizzo.jpg,001034,001034,jpg
Bricherasio,001035,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bricherasio-scaled.jpg?fit=232%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Bricherasio-scaled.jpg,Bricherasio-scaled.jpg,001035,001035,jpg
